,POA_West,ref_West
2023-05-12 11:20:00+00:00,143.28231829836344,107.5553
2023-05-12 11:25:00+00:00,143.07427912466846,108.0163
2023-05-12 11:30:00+00:00,143.0564358194484,109.2279
2023-05-12 11:35:00+00:00,141.26623995097347,110.3188
2023-05-12 11:40:00+00:00,158.89703284383663,111.7686
2023-05-12 11:45:00+00:00,178.39884258735563,113.2172
2023-05-12 11:50:00+00:00,195.55760747276486,117.9745
2023-05-12 11:55:00+00:00,214.71608086438624,128.4575
2023-05-12 12:00:00+00:00,232.2709543142575,143.4233
2023-05-12 12:05:00+00:00,251.32912570619396,161.6204
2023-05-12 12:10:00+00:00,270.7040283251513,180.7441
2023-05-12 12:15:00+00:00,287.8265216072279,198.5281
2023-05-12 12:20:00+00:00,305.6089661904007,217.0448
2023-05-12 12:25:00+00:00,328.2945318334382,236.4229
2023-05-12 12:30:00+00:00,344.7645733524984,254.4005
2023-05-12 12:35:00+00:00,364.1562218563224,273.4408
2023-05-12 12:40:00+00:00,380.6048251253264,292.4328
2023-05-12 12:45:00+00:00,396.5393542729499,312.386
2023-05-12 12:50:00+00:00,416.0633348265128,333.6048
2023-05-12 12:55:00+00:00,433.72663849537327,353.6215
2023-05-12 13:00:00+00:00,450.7221240629116,372.9607
2023-05-12 13:05:00+00:00,470.1404354817271,393.6643
2023-05-12 13:10:00+00:00,489.04891564392386,416.6576
2023-05-12 13:15:00+00:00,505.13718771229793,436.8622
2023-05-12 13:20:00+00:00,519.4543118377975,452.2343
2023-05-12 13:25:00+00:00,536.235304609203,470.4459
2023-05-12 13:30:00+00:00,545.4973525480428,485.5381
2023-05-12 13:35:00+00:00,564.9178135237903,503.9503
2023-05-12 13:40:00+00:00,580.9070191044251,520.6208
2023-05-12 13:45:00+00:00,595.1685336547773,540.6326
2023-05-12 13:50:00+00:00,612.7107214796815,554.2971
2023-05-12 13:55:00+00:00,635.2893357698977,574.2122
2023-05-12 14:00:00+00:00,637.4560270494967,581.2283
2023-05-12 14:05:00+00:00,648.3940310100907,593.7014
2023-05-12 14:10:00+00:00,659.242389213769,607.0726
2023-05-12 14:15:00+00:00,670.9979806170616,622.4077
2023-05-12 14:20:00+00:00,669.1145551302614,635.2399
2023-05-12 14:25:00+00:00,696.8890171782238,651.8367
2023-05-12 14:30:00+00:00,706.4293428424014,662.0698
2023-05-12 14:35:00+00:00,711.870625551094,669.0844
2023-05-12 14:40:00+00:00,724.5772007589006,682.3724
2023-05-12 14:45:00+00:00,738.6585518971151,698.9182
2023-05-12 14:50:00+00:00,747.6059766154153,706.5579
2023-05-12 14:55:00+00:00,754.4976230727447,709.4234
2023-05-12 15:00:00+00:00,764.5601947908267,721.2872
2023-05-12 15:05:00+00:00,769.5048891237161,724.5911
2023-05-12 15:10:00+00:00,773.6882443456108,729.4705
2023-05-12 15:15:00+00:00,778.9566267714887,732.2263
2023-05-12 15:20:00+00:00,787.848146586765,738.7521
2023-05-12 15:25:00+00:00,784.1306829707462,754.3625
2023-05-12 15:30:00+00:00,787.3195129985953,759.0909
2023-05-12 15:35:00+00:00,786.8618825652944,754.8176
2023-05-12 15:40:00+00:00,796.3379557256151,760.6021
2023-05-12 15:45:00+00:00,791.5343506047867,754.855
2023-05-12 15:50:00+00:00,796.8928315714136,763.9864
2023-05-12 15:55:00+00:00,793.4750304401351,755.6663
2023-05-12 16:00:00+00:00,793.7089322368553,754.3528
2023-05-12 16:05:00+00:00,790.6156891230344,749.5191
2023-05-12 16:10:00+00:00,797.181198258442,757.8265
2023-05-12 16:15:00+00:00,783.9583741952837,736.9898
2023-05-12 16:20:00+00:00,795.9827703122949,749.3582
2023-05-12 16:25:00+00:00,782.257762266632,728.4116
2023-05-12 16:30:00+00:00,789.6269893217465,730.9149
2023-05-12 16:35:00+00:00,784.9310637772322,712.9685
2023-05-12 16:40:00+00:00,788.9988723864121,710.1624
2023-05-12 16:45:00+00:00,773.0584149989237,684.1401
2023-05-12 16:50:00+00:00,766.0184775582321,670.9117
