,POA_East,ref_East
2023-05-12 03:25:00+00:00,0.0,16.05181
2023-05-12 03:30:00+00:00,0.0,18.84977
2023-05-12 03:35:00+00:00,44.70295347547708,21.53169
2023-05-12 03:40:00+00:00,36.97880236238831,25.29252
2023-05-12 03:45:00+00:00,25.89186966888461,30.4087
2023-05-12 03:50:00+00:00,28.59481050763662,51.08629
2023-05-12 03:55:00+00:00,61.02650379438778,141.9948
2023-05-12 04:00:00+00:00,69.26301890145268,147.5198
2023-05-12 04:05:00+00:00,111.15515811838766,235.6686
2023-05-12 04:10:00+00:00,123.50323271391666,283.912
2023-05-12 04:15:00+00:00,142.47042688021241,320.1694
2023-05-12 04:20:00+00:00,150.06819180789066,318.6458
2023-05-12 04:25:00+00:00,208.04594943370262,387.1809
2023-05-12 04:30:00+00:00,229.1455124395296,317.9555
2023-05-12 04:35:00+00:00,258.14036105258714,428.6588
2023-05-12 04:40:00+00:00,289.3372451409641,474.0923
2023-05-12 04:45:00+00:00,308.0487820014691,486.6569
2023-05-12 04:50:00+00:00,336.2313881908816,522.1688
2023-05-12 04:55:00+00:00,370.2926658612055,544.043
2023-05-12 05:00:00+00:00,396.48850413729906,565.3395
2023-05-12 05:05:00+00:00,419.74562578434484,582.7702
2023-05-12 05:10:00+00:00,446.7728969824271,608.3693
2023-05-12 05:15:00+00:00,471.761169127488,630.9783
2023-05-12 05:20:00+00:00,494.3616108785593,648.4315
2023-05-12 05:25:00+00:00,515.6921584685462,665.5872
2023-05-12 05:30:00+00:00,535.1999813981303,681.8862
2023-05-12 05:35:00+00:00,558.5085599701545,695.3584
2023-05-12 05:40:00+00:00,577.9805010687004,710.1635
2023-05-12 05:45:00+00:00,594.2087291567567,724.3467
2023-05-12 05:50:00+00:00,607.7924714827808,737.9517
2023-05-12 05:55:00+00:00,618.9250810833481,748.4308
2023-05-12 06:00:00+00:00,635.5234364065024,764.8284
2023-05-12 06:05:00+00:00,646.4776655855402,772.7647
2023-05-12 06:10:00+00:00,655.0203722262124,783.6074
2023-05-12 06:15:00+00:00,662.1597542240378,789.1909
2023-05-12 06:20:00+00:00,668.8483904176537,795.477
2023-05-12 06:25:00+00:00,674.7119189107202,800.8544
2023-05-12 06:30:00+00:00,678.9073195289706,804.5528
2023-05-12 06:35:00+00:00,682.4699487447269,808.0085
2023-05-12 06:40:00+00:00,689.835870304386,814.2337
2023-05-12 06:45:00+00:00,694.3899106172419,817.6378
2023-05-12 06:50:00+00:00,692.637961892713,821.2846
2023-05-12 06:55:00+00:00,695.5303853134491,821.8047
2023-05-12 07:00:00+00:00,695.4565344475124,820.2556
2023-05-12 07:05:00+00:00,697.5025024662069,819.9592
2023-05-12 07:10:00+00:00,699.9888864106557,821.5267
2023-05-12 07:15:00+00:00,701.0695576844463,822.5046
2023-05-12 07:20:00+00:00,702.8918507211952,818.9771
2023-05-12 07:25:00+00:00,701.1282748927259,815.2098
2023-05-12 07:30:00+00:00,702.1828615049264,813.7682
2023-05-12 07:35:00+00:00,705.096978778864,814.4331
2023-05-12 07:40:00+00:00,702.6471495840564,810.6096
2023-05-12 07:45:00+00:00,698.9709841561078,803.0797
2023-05-12 07:50:00+00:00,696.2966318632864,799.0544
2023-05-12 07:55:00+00:00,692.6118447294364,791.8334
2023-05-12 08:00:00+00:00,687.922533316428,783.05
2023-05-12 08:05:00+00:00,685.44304923499,777.1579
2023-05-12 08:10:00+00:00,680.9857556132115,773.8701
2023-05-12 08:15:00+00:00,672.2676593092795,760.5532
2023-05-12 08:20:00+00:00,671.0894563060734,755.7213
2023-05-12 08:25:00+00:00,666.2674433592653,745.3565
2023-05-12 08:30:00+00:00,657.6583424257653,734.7167
2023-05-12 08:35:00+00:00,651.1230240677748,725.8171
2023-05-12 08:40:00+00:00,644.3930964235443,714.6038
2023-05-12 08:45:00+00:00,635.217163525675,702.3649
2023-05-12 08:50:00+00:00,628.4406064344626,692.5866
2023-05-12 08:55:00+00:00,618.2232830462244,679.6895
2023-05-12 09:00:00+00:00,620.8275696239749,667.5336
2023-05-12 09:05:00+00:00,611.8995115554105,654.2783
2023-05-12 09:10:00+00:00,598.2000535795868,638.4257
2023-05-12 09:15:00+00:00,590.0172966700832,626.8479
2023-05-12 09:20:00+00:00,581.3341286379588,611.4919
2023-05-12 09:25:00+00:00,566.3345210235133,593.3734
2023-05-12 09:30:00+00:00,554.918188841577,579.4704
2023-05-12 09:35:00+00:00,538.3379486947474,560.2078
2023-05-12 09:40:00+00:00,530.0508626506552,544.4085
2023-05-12 09:45:00+00:00,515.3497881601351,526.1558
2023-05-12 09:50:00+00:00,501.1447957985634,508.2981
2023-05-12 09:55:00+00:00,489.3339658563321,493.9451
2023-05-12 10:00:00+00:00,471.7792390389832,474.1243
2023-05-12 10:05:00+00:00,457.58646855538075,455.0419
2023-05-12 10:10:00+00:00,441.8406028142884,436.2121
2023-05-12 10:15:00+00:00,423.16803042476704,414.9306
2023-05-12 10:20:00+00:00,407.0454250953511,395.6392
2023-05-12 10:25:00+00:00,392.76401764674296,376.2596
2023-05-12 10:30:00+00:00,376.20796012268767,355.7398
2023-05-12 10:35:00+00:00,359.6392707152859,337.7932
2023-05-12 10:40:00+00:00,343.41622979410295,317.6311
2023-05-12 10:45:00+00:00,325.0464536129851,297.691
